s,mph,hp,rpm,kw,torque_Nm
2.86,55.76,43.19,10108.36649,32.206783,30.42774298
2.88,55.94,43.09,10140.99752,32.132213,30.25961041
2.88,55.95,43.08,10142.81035,32.124756,30.24718092
2.9,56.12,43,10173.62855,32.0651,30.09955628
2.9,56.13,43,10175.44138,32.0651,30.09419381
2.92,56.3,42.94,10206.25957,32.020358,29.96145814
2.92,56.31,42.94,10208.07241,32.020358,29.95613733
2.94,56.48,42.9,10238.8906,31.99053,29.83815079
2.94,56.49,42.9,10240.70343,31.99053,29.83286876
2.96,56.67,42.87,10273.33446,31.968159,29.71731523
2.96,56.68,42.87,10275.14729,31.968159,29.71207223
2.98,56.85,42.83,10305.96548,31.938331,29.59558341
2.98,56.86,42.83,10307.77832,31.938331,29.59037842
3,57.03,42.77,10338.59651,31.893589,29.46084362
3,57.04,42.76,10340.40934,31.886132,29.44879168
3.02,57.21,42.67,10371.22753,31.819019,29.29948557
3.02,57.22,42.67,10373.04037,31.819019,29.29436508
3.04,57.39,42.55,10403.85856,31.729535,29.12544972
3.04,57.4,42.54,10405.67139,31.722078,29.11353179
3.06,57.57,42.39,10436.48958,31.610223,28.92520778
3.06,57.58,42.38,10438.30242,31.602766,28.91336189
3.08,57.74,42.23,10467.30777,31.490911,28.7311892
3.08,57.75,42.23,10469.12061,31.490911,28.7262141
3.1,57.92,42.08,10499.9388,31.379056,28.54016491
3.1,57.93,42.08,10501.75163,31.379056,28.53523824
3.12,58.1,41.96,10532.56982,31.289572,28.37060828
3.12,58.11,41.96,10534.38266,31.289572,28.36572605
3.14,58.27,41.89,10563.38801,31.237373,28.24064701
3.14,58.28,41.88,10565.20085,31.229916,28.22906086
3.16,58.44,41.85,10594.2062,31.207545,28.13160788
3.16,58.45,41.85,10596.01904,31.207545,28.12679495
3.18,58.61,41.84,10625.02439,31.200088,28.04330883
3.18,58.62,41.84,10626.83723,31.200088,28.03852491
3.2,58.77,41.83,10654.02975,31.192631,27.96027729
3.2,58.78,41.83,10655.84259,31.192631,27.95552052
3.22,58.95,41.82,10686.66078,31.185174,27.86823854
3.22,58.96,41.82,10688.47361,31.185174,27.86351191
3.24,59.12,41.78,10717.47897,31.155346,27.76152444
3.24,59.13,41.77,10719.2918,31.147889,27.75018588
3.26,59.3,41.69,10750.10999,31.088233,27.61763604
3.26,59.31,41.68,10751.92283,31.080776,27.60635615
3.28,59.46,41.56,10779.11535,30.991292,27.45743311
3.28,59.47,41.55,10780.92818,30.983835,27.4462105
3.3,59.63,41.38,10809.93354,30.857066,27.26057281
3.3,59.64,41.37,10811.74637,30.849609,27.2494152
3.32,59.8,41.15,10840.75173,30.685555,27.03198612
3.32,59.81,41.13,10842.56456,30.670641,27.0143304
3.34,59.95,40.9,10867.94425,30.49913,26.80053236
3.34,59.96,40.88,10869.75708,30.484216,26.78295941
3.36,60.11,40.59,10896.94961,30.267963,26.52660213
3.36,60.12,40.57,10898.76244,30.253049,26.50912152
3.38,60.28,40.22,10927.7678,29.992054,26.21067001
3.38,60.29,40.2,10929.58063,29.97714,26.19329109
3.4,60.44,39.85,10956.77315,29.716145,25.90079952
3.4,60.45,39.82,10958.58599,29.693774,25.87701936
3.42,60.6,39.44,10985.77851,29.410408,25.56663565
3.42,60.61,39.41,10987.59134,29.388037,25.5429734
3.44,60.75,39.03,11012.97103,29.104671,25.23838548
3.44,60.76,39,11014.78386,29.0823,25.21483566
3.46,60.9,38.64,11040.16355,28.813848,24.92465326
3.46,60.91,38.62,11041.97638,28.798934,24.90766237
3.48,61.05,38.32,11067.35607,28.575224,24.65750514
3.48,61.06,38.3,11069.16891,28.56031,24.64059974
